# Snowball hungarian conformance fixture. Do not edit by hand.
#
# Regenerate with:
#   bun scripts/generate-snowball-stemmers.ts --write
#
# A deterministic sample (every 25th pair, plus the first and
# last 100) of the official reference vocabulary:
#   https://github.com/snowballstem/snowball-data @ a0ec0d0a2839ec885878868de20fcb63209d92b0
#   hungarian/voc.txt -> hungarian/output.txt
# produced by Snowball v3.1.1.
#
# Format: <word>\t<stem>, one pair per line. The reader checks the row count
# against the declaration below, so a truncated fixture fails loudly instead
# of passing a thinner vocabulary.
#
# pairs: 1387
#
# The vocabularies are derived from third-party corpora; see
# hungarian/COPYING upstream for their licence terms. The Snowball
# project itself is BSD 3-Clause (see ../base-stemmer.ts).
abazinok	abazin
megtanítanám	megtanítana
megtartottak	megtartott
megtehet	megteh
megteljék	megtelje
megtámadható	megtámadható
megtárgyalására	megtárgyalás
megtételéig	megtétel
megtöltve	megtöltv
megtörténtének	megtörtént
megvagy	megvagy
megvalósulását	megvalósulás
megvalósításába	megvalósítás
megvert	megver
megvillogtatta	megvillogtatt
megvizsgálni	megvizsgáln
megválaszolja	megválaszol
megválogatják	megválogatja
megváltoztathatóságáról	megváltoztathatóság
megváltozzanak	megváltozz
megvártam	megvárt
megvédelmezni	megvédelmezn
megyei	megy
megállapodik	megállapod
megállapodásukat	megállapodás
megállapítottuk	megállapított
megállapítására	megállapítás
megállíthatatlanul	megállíthatatlan
megátalkodott	megátalkodot
megélni	megéln
megérdemelném	megérdemelne
megérinthettem	megérinthett
megértene	megérten
megértést	megértés
mi	mi
midibuszokba	midibusz
mikrochipeket	mikrochip
miként	mi
milliárdjai	milliárd
milliósban	milliós
mindanynyiuknak	mindanyny
mindegyikét	mindegy
mindenért	minden
mindenhatóvá	mindenható
mindennapi	mindennap
mindezt	mindez
mindkettőről	mindkettő
minidiszk	minidisz
miniszoknyát	miniszokny
miniszterelnökkel	minisztereln
minkáltató	minkáltató
mintáit	minta
minőségében	minőség
minősítették	minősítette
minősüljön	minősülj
missziójának	misszió
mivoltára	mivolt
mobileszközök	mobileszköz
mobillaboratóriumban	mobillaboratóriu
mobiltelefon-használók	mobiltelefon-használó
mobiltársaságban	mobiltársaság
motortérben	motortér
mozdonyvezetőknek	mozdonyvezető
mozduljon	mozdulj
mozgat	mozg
mozgását	mozgás
mozgóképszerkesztő	mozgóképszerkesztő
mozinézők	mozinéző
mukkot	muk
mulatnak	mulat
multilaterális	multilaterális
munkaasztal	munkaasztal
munkadarabot	munkadarab
munkagép	munkagép
munkahelyét	munkahely
munkakapcsolatban	munkakapcsolat
munkaközösségének	munkaközösség
munkaokmányokban	munkaokmány
munkatársaimmal	munkatárs
munkaviszonyra	munkaviszony
munkavállalóval	munkavállaló
munkájukba	munka
munkámnál	munka
munkálkodom	munkálkod
munkásosztály	munkásosztály
mutasson	mutass
mutatkoznak	mutatkoz
mutatóujja	mutatóuj
muzsikákkal	muzsika
mágusok	mágus
mákültetvényei	mákültetvény
márciusi	március
márkájú	márkájú
mása	más
másról	más
másiktól	más
másodfokú	másodfokú
másodpercekben	másodperc
másolatain	másolat
másolják	másolja
másoló-nyomtató	másoló-nyomtató
mászkálás	mászkálás
mávön	máv
médiakonszern	médiakonszer
médiumokban	médium
méhükben	méh
méltóan	méltó
mélyre	mély
mélyrepülését	mélyrepülés
méneket	mén
mérnek	mér
méreten	méret
mérgezi	mérgez
mérleg	mérleg
mérlegelésére	mérlegelés
mérséklődik	mérséklőd
mértéket	mérte
mérésében	mérés
mínusz	mínusz
módján	mód
módonkénti	módonként
módosított	módosítot
módosításában	módosítás
módszerek	módszer
módszertanilag	módszertanilag
mögöttünk	mögött
múlthoz	múlt
múlásával	múlás
múzeumépület	múzeumépül
műfajok	műfaj
műfogam	műfog
műintézetben	műintézet
működni	működn
működtetéséig	működtetés
működést	működés
működőtőke-beáramlás	működőtőke-beáramlás
műsorcsomaggal	műsorcsomag
műsorszolgáltatására	műsorszolgáltatás
műsoraik	műsor
műsorára	műsor
műteremre	műter
műtétre	műtét
műveimről	műv
művével	műv
műveletről	művelet
műveltségünk	műveltség
művészként	művész
művészi	művész
nadrágját	nadrág
nagyszerűségét	nagyszerűség
nagyságrendben	nagyságren
nagytulajdonosának	nagytulajdonos
nagyvállalkozóból	nagyvállalkozó
nagyítás	nagyítás
naphalat	naphal
napirendjére	napirend
napjáig	nap
napomnak	nap
naplójegyzet	naplójegyz
nayári	nayár
negatívumról	negatívu
negyedikig	negyed
negyvenen	negyven
neheze	nehez
növényhatározó	növényhatározó
objektíve	objektív
odamondtam	odamondt
odanézett	odanézet
odavezette	odavezett
odavezényeltek	odavezényelt
odú	odú
odúban	odú
odúból	odú
odút	odú
odúpadlón	odúpadló
offenzív	offenzív
offenzívában	offenzív
offenzíváját	offenzívá
ofő	ofő
ofőm	ofő
ogni	ogn
ogtatott	ogtatot
ok	ok
oka	ok
okai	ok
okaid	ok
okaim	ok
okain	ok
okainak	ok
okairól	ok
okait	ok
okból	ok
okhoz	ok
okkal	ok
okként	ok
okom	ok
okon	ok
oknak	ok
oknál	ok
okoból	ok
okod	ok
okok	ok
okokat	ok
okokból	ok
okokkal	ok
okoknak	ok
okoknál	ok
okokon	ok
okokra	ok
okot	ok
okuk	ok
okunk	ok
okából	ok
okához	ok
okán	ok
okának	ok
okára	ok
okát	ok
okáért	ok
pennyn	penny
pennyt	penny
pennyvel	penny
penész	penész
penészes	penészes
penészgomba	penészg
penészszagú	penészszagú
pepecselek	pepecsel
peranyagára	peranyag
perbeli	perbel
perbevonása	perbevonás
perbíróság	perbíróság
percdíj	percdíj
perc	perc
percben	perc
perccel	perc
perce	perc
percei	perc
perceiben	perc
perceik	perc
percek	perc
percekben	perc
perceken	perc
perceket	perc
percekig	perc
percekre	perc
percem	perc
percen	perc
percenként	perc
percet	perc
percig	perc
perckor	perc
percnek	perc
percnél	perc
percre	perc
percről	perc
percét	perc
percünk	perc
perceptronokat	perceptron
perces	perces
percesek	perces
percmutató	percmutató
perec	perec
pereg	pereg
peregnek	pereg
peregtek	peregt
